code,city,country,lat,lon
SYD,SYDNEY,AUSTRALIA,-33.8650,151.2094 
TYO,TOKYO,JAPAN,35.68,139.76
TAI,TAIPEI,TAIWAN,25.0333,121.6333
BKK,BANGKOK,THAILAND,13.75,100.48
HOK,HONG KONG,CHINA,22.27,114.17
SIN,SINGAPORE,MALAYSA,1.36,103.75
SEO,SEOUL,SOUTH KOREA,37.5667,126.9667
RIO,RIO DE JANEIRO,BRAZIL,-22.90,-43.24
LA,LOS ANGELES,USA,34.0500,-118.2500
HON,HONOLULU,USA,21.3000,-157.8167
SEA,SEATTLE,USA,47.61,-122.33
HIL,HILO,USA,19.7056,-155.0858
MIA,MIAMI,USA,25.7753,-80.2089
NYK,NEW YORK,USA,40.7127,-74.0059
CRN,CERN,USA,46.2342,6.0528
CHI,CHICAGO,USA,41.8369,-87.6847
ROT,ROTTERDAM,HOLLAND,51.9167,4.5000